Date,Open,High,Low,Close,Volume,Market Cap
13/02/2022,42236.57,42693.05,41950.94,42197.52,14741589015,8.00E+11
12/02/2022,42412.3,42992.55,41852.57,42244.47,18152390304,8.01E+11
11/02/2022,43571.13,43810.83,42114.54,42407.94,26954925781,8.04E+11
10/02/2022,44347.8,45661.17,43402.81,43565.11,32142048537,8.26E+11
09/02/2022,44096.7,44727.8,43232.97,44338.8,23245887300,8.40E+11
08/02/2022,43854.65,45293.87,42807.84,44118.45,33079398868,8.36E+11
07/02/2022,42406.78,44401.86,41748.16,43840.29,28641855926,8.31E+11
06/02/2022,41441.12,42500.79,41244.91,42412.43,16142097334,8.04E+11
05/02/2022,41501.48,41847.16,41038.1,41441.16,19652846215,7.85E+11
04/02/2022,37149.26,41527.79,37093.63,41500.88,29412210792,7.86E+11
03/02/2022,36944.81,37154.6,36375.54,37154.6,18591534769,7.04E+11
02/02/2022,38743.71,38834.62,36832.73,36952.98,19155189416,7.00E+11
01/02/2022,38481.77,39115.13,38113.66,38743.27,20288500328,7.34E+11
31/01/2022,37920.28,38647.26,36733.57,38483.13,20734730465,7.29E+11
30/01/2022,38151.92,38266.34,37437.71,37917.6,14643548444,7.18E+11
29/01/2022,37780.71,38576.26,37406.47,38138.18,17194183075,7.22E+11
28/01/2022,37128.44,37952.88,36211.11,37784.33,22238830523,7.16E+11
27/01/2022,36841.88,37148.32,35629.28,37138.23,25041426629,7.03E+11
26/01/2022,36950.51,38825.41,36374.91,36852.12,31324598034,6.98E+11
25/01/2022,36654.81,37444.57,35779.43,36954,26428189594,7.00E+11
24/01/2022,36275.73,37247.52,33184.06,36654.33,41856658597,6.94E+11
23/01/2022,35047.36,36433.31,34784.97,36276.8,26017975951,6.87E+11
22/01/2022,36471.59,36688.81,34349.25,35030.25,39714385405,6.63E+11
21/01/2022,40699.61,41060.53,35791.43,36457.32,43011992031,6.90E+11
20/01/2022,41744.03,43413.02,40672.82,40680.42,20382033940,7.70E+11
19/01/2022,42374.04,42478.3,41242.91,41744.33,23091543258,7.90E+11
18/01/2022,42250.07,42534.4,41392.22,42375.63,22417209227,8.02E+11
17/01/2022,43118.12,43179.39,41680.32,42250.55,21690904261,8.00E+11
16/01/2022,43172.04,43436.81,42691.02,43113.88,17902097845,8.16E+11
15/01/2022,43101.9,43724.67,42669.04,43177.4,18371348298,8.17E+11
14/01/2022,42598.87,43346.69,41982.62,43099.7,23577403399,8.16E+11
13/01/2022,43946.74,44278.42,42447.04,42591.57,47691135082,8.06E+11
12/01/2022,42742.18,44135.37,42528.99,43949.1,33499938689,8.32E+11
11/01/2022,41819.51,43001.16,41407.75,42735.85,26327648900,8.09E+11
10/01/2022,41910.23,42199.49,39796.57,41821.26,32104232331,7.91E+11
09/01/2022,41734.73,42663.95,41338.16,41911.6,21294384372,7.93E+11
08/01/2022,41561.47,42228.94,40672.28,41733.94,28066355845,7.90E+11
07/01/2022,43153.57,43153.57,41077.45,41557.9,84196607520,7.86E+11
06/01/2022,43565.51,43748.72,42645.54,43160.93,30208048289,8.17E+11
05/01/2022,45899.36,46929.05,42798.22,43569,36851084859,8.24E+11
04/01/2022,46458.85,47406.55,45752.46,45897.58,42494677905,8.68E+11
03/01/2022,47343.54,47510.73,45835.96,46458.12,33071628362,8.79E+11
02/01/2022,47680.93,47881.41,46856.94,47345.22,27951569547,8.96E+11
01/01/2022,46311.74,47827.31,46288.49,47686.81,24582667004,9.02E+11
31/12/2021,47169.37,48472.53,45819.95,46306.45,36974172400,8.76E+11
30/12/2021,46490.61,47879.97,46060.31,47178.13,26686491018,8.92E+11
29/12/2021,47623.87,48119.74,46201.49,46444.71,30049226299,8.78E+11
28/12/2021,50679.86,50679.86,47414.21,47588.85,33430376883,9.00E+11
27/12/2021,50802.61,51956.33,50499.47,50640.42,24324345758,9.58E+11
26/12/2021,50428.69,51196.38,49623.1,50809.52,20964372926,9.61E+11
25/12/2021,50854.92,51176.6,50236.71,50429.86,19030650914,9.54E+11
24/12/2021,50806.05,51814.03,50514.49,50822.2,24367912228,9.61E+11
23/12/2021,48626.34,51332.34,48065.84,50784.54,28223878108,9.60E+11
22/12/2021,48937.1,49544.8,48450.94,48628.51,24447979559,9.19E+11
21/12/2021,46886.08,49300.92,46698.77,48936.61,27055803928,9.25E+11
20/12/2021,46707.06,47401.72,45579.81,46880.28,30961902129,8.86E+11
19/12/2021,46853.87,48089.66,46502.95,46707.01,25154053861,8.83E+11
18/12/2021,46219.26,47313.83,45598.44,46848.78,26098292690,8.86E+11
17/12/2021,47653.73,48004.89,45618.22,46202.14,32902725329,8.73E+11
16/12/2021,48900.46,49425.57,47529.88,47665.43,27268150947,9.01E+11
15/12/2021,48379.75,49473.96,46671.97,48896.72,36541828520,9.24E+11
14/12/2021,46709.82,48431.4,46424.5,46612.63,34638619079,8.81E+11
13/12/2021,50114.74,50205,45894.85,46737.48,32166727776,8.83E+11
12/12/2021,49354.85,50724.87,48725.85,50098.34,21939223599,9.47E+11
